,Position,Value,Position_Size,Percentage,Position_Value,Position_purchase_price,Gain_relative,Gain_absolute,Item_ID,Lowest_Listing,Highest_Bid
0,Stockholm 2021 Contenders Sticker Capsule,5.61,0,0.0,0.0,2.0,180.5,1083.0,875837,5.61,5.5
1,Stockholm 2021 Challengers Sticker Capsule,12.74,0,0.0,0.0,1.48,760.81,776.94,875971,12.74,12.5
2,Antwerp 2022 Contenders Autograph Capsule,1.12,0,0.0,0.0,0.0,0.0,0.0,894283,1.12,1.1
3,Stockholm 2021 Legends Sticker Capsule,3.57,199,18.11,710.43,3.6,-0.83,-5.97,875864,3.57,3.4
4,Sticker | rox (Holo) | Antwerp 2022,173.88,0,0.0,0.0,0.0,0.0,0.0,895464,173.88,170.0
5,Sticker | max (Holo) | Antwerp 2022,25.01,0,0.0,0.0,0.0,0.0,0.0,895634,25.01,24.0
6,Sticker | ropz (Holo) | Antwerp 2022,27.3,0,0.0,0.0,0.0,0.0,0.0,895431,27.3,27.1
7,Sticker | FURIA (Holo) | Antwerp 2022,16.0,0,0.0,0.0,0.0,0.0,0.0,894182,16.0,15.2
8,Sticker | Cloud9 (Holo) | Antwerp 2022,29.27,1,0.75,29.27,30.0,-2.43,-0.73,894316,29.27,29.3
9,Sticker | Team Liquid (Holo) | Stockholm 2021,7.36,0,0.0,0.0,0.0,0.0,0.0,875982,7.36,7.3
10,Sticker | MOUZ (Gold) | Stockholm 2021,584.0,0,0.0,0.0,0.0,0.0,0.0,876160,605.0,542.0
11,Sticker | Virtus.Pro (Holo) | Stockholm 2021,17.6,0,0.0,0.0,6.22,182.96,455.2,875980,17.6,17.1
12,Sticker | Team Liquid (Holo) | Antwerp 2022,11.16,0,0.0,0.0,0.0,0.0,0.0,895343,11.16,10.7
13,Sticker | 9z Team (Holo) | Antwerp 2022,11.2,0,0.0,0.0,0.0,0.0,0.0,894383,11.2,10.5
14,Sticker | Entropiq (Holo) | Stockholm 2021,13.0,19,6.3,247.0,12.8,1.56,3.8,875981,13.0,12.7
15,Sticker | FURIA (Holo) | Stockholm 2021,15.0,0,0.0,0.0,7.25,106.9,387.5,875969,15.0,14.7
16,Sticker | MOUZ (Holo) | Stockholm 2021,66.8,0,0.0,0.0,0.0,0.0,0.0,876070,66.8,63.0
17,Sticker | paiN Gaming (Holo) | Stockholm 2021,19.73,10,5.03,197.3,18.0,9.61,17.3,876123,21.3,16.6
18,Sticker | Natus Vincere (Holo) | Stockholm 2021,10.34,0,0.0,0.0,0.0,0.0,0.0,875977,10.34,10.0
19,Sticker | Copenhagen Flames (Holo) | Stockholm 2021,17.79,0,0.0,0.0,17.76,0.17,1.5,876034,17.79,17.1
20,Sticker | Imperial Esports (Holo) | Antwerp 2022,17.5,0,0.0,0.0,0.0,0.0,0.0,894346,17.5,17.1
21,Sticker | Movistar Riders (Holo) | Stockholm 2021,19.59,0,0.0,0.0,0.0,0.0,0.0,876065,19.59,18.4
22,Sticker | Natus Vincere (Holo) | Antwerp 2022,10.8,0,0.0,0.0,0.0,0.0,0.0,894280,10.8,10.6
23,Sticker | G2 Esports (Holo) | Stockholm 2021,8.55,0,0.0,0.0,6.66,28.38,94.5,875983,8.55,8.5
24,Sticker | Tyloo (Holo) | Stockholm 2021,14.2,0,0.0,0.0,6.29,125.76,237.3,876043,14.2,14.0
25,Sticker | FaZe Clan (Holo) | Stockholm 2021,9.26,0,0.0,0.0,0.0,0.0,0.0,876072,9.26,9.2
26,Sticker | G2 Esports (Holo) | Antwerp 2022,12.5,0,0.0,0.0,0.0,0.0,0.0,895340,12.5,12.0
27,Sticker | Heroic (Holo) | Antwerp 2022,2.89,0,0.0,0.0,0.0,0.0,0.0,894259,2.89,2.8
28,Sticker | Astralis (Holo) | Stockholm 2021,14.0,13,4.64,182.0,13.2,6.06,10.4,876016,14.0,13.0
29,Sticker | Liquid Fire (Holo),51.8,30,39.62,1554.0,60.0,-13.67,-246.0,871554,51.8,49.0
30,Sticker | Eternal Fire (Holo) | Antwerp 2022,9.91,0,0.0,0.0,0.0,0.0,0.0,894364,9.91,9.9
31,Sticker | sh1ro (Holo) | Antwerp 2022,27.0,0,0.0,0.0,0.0,0.0,0.0,894465,27.0,25.6
32,Sticker | Vitality (Holo) | Stockholm 2021,6.55,0,0.0,0.0,0.0,0.0,0.0,876018,0.0,0.0
33,Sticker | Ax1Le (Holo) | Antwerp 2022,29.3,0,0.0,0.0,0.0,0.0,0.0,895380,0.0,0.0
34,Sticker | Natus Vincere (Holo) | Katowice 2015,2770.0,0,0.0,0.0,0.0,0.0,0.0,40576,0.0,0.0
35,Sticker | m0NESY (Holo) | Antwerp 2022,55.45,0,0.0,0.0,0.0,0.0,0.0,895471,0.0,0.0
36,Sticker | broky (Holo) | Antwerp 2022,16.79,0,0.0,0.0,0.0,0.0,0.0,894141,0.0,0.0
37,Sticker | JT (Holo) | Antwerp 2022,15.2,0,0.0,0.0,0.0,0.0,0.0,895461,0.0,0.0
38,Sticker | KSCERATO (Holo) | Antwerp 2022,6.94,0,0.0,0.0,0.0,0.0,0.0,894276,0.0,0.0
39,Sticker | Tornado Chaos (Foil),72.0,3,5.51,216.0,70.0,2.86,6.0,880187,0.0,0.0
40,Sticker | floppy (Holo) | Antwerp 2022,4.65,0,0.0,0.0,0.0,0.0,0.0,895537,0.0,0.0
41,Sticker | G2 Esports (Gold) | Antwerp 2022,59.4,0,0.0,0.0,0.0,0.0,0.0,895363,0.0,0.0
42,Sticker | 9z Team (Gold) | Antwerp 2022,22.55,0,0.0,0.0,0.0,0.0,0.0,894318,0.0,0.0
43,Sticker | Imperial Esports (Gold) | Antwerp 2022,56.23,0,0.0,0.0,0.0,0.0,0.0,894368,0.0,0.0
44,Sticker | Vitality (Gold) | Stockholm 2021,33.7,0,0.0,0.0,0.0,0.0,0.0,876009,0.0,0.0
